year,sample_size,employment,members,covered,perc_mem,per_coverage,education
1990,141654,80740.3366133345,13021.7389791667,14514.7472591667,16.1279231,17.9770708,less_college
1991,136482,79341.0168958338,12761.8834716666,14177.9120458332,16.0848498,17.8695872,less_college
1992,134355,80087.3625383331,12604.7504616667,13972.1613991667,15.7387509,17.4461498,less_college
1993,131953,80654.1951533335,12586.1053866666,13875.7357108333,15.605022,17.2039851,less_college
1994,128029,81554.9264850167,12504.4885122,13865.288121875,15.3325974,17.0011654,less_college
1995,126624,82790.1856850916,12138.4018371334,13398.5205909667,14.6616429,16.1837071,less_college
1996,113087,83644.5216737419,11974.0668871751,13124.3771027084,14.3154233,15.6906589,less_college
1997,114660,85326.5621219151,11672.3735202499,12764.1327817332,13.6796489,14.959155,less_college
1998,115500,86378.6559896923,11685.7701409333,12666.9112932667,13.5285392,14.6643996,less_college
1999,116536,87376.6612584831,11678.0556243,12689.7227794334,13.3651882,14.5230114,less_college
2000,117558,88382.5781187678,11520.776863525,12505.6078990917,13.0351215,14.1494035,less_college
2001,124475,87797.1224848415,11462.5301341083,12378.0569487749,13.0557015,14.0984773,less_college
2002,131965,86374.9757834006,11001.76184755,11860.433263325,12.73721,13.7313306,less_college
2003,128903,87489.3985859912,10710.1977932416,11691.9839818583,12.2417092,13.3638858,less_college
2004,126066,87832.8740319323,10320.05560705,11198.9208796416,11.7496505,12.7502605,less_college
2005,126408,89358.9839849818,10397.586934675,11255.51002355,11.635749,12.5958353,less_college
2006,125610,90528.405979809,10062.6198272334,10884.320702075,11.115428,12.0231002,less_college
2007,122524,90345.7453357422,10038.7782093667,10906.5890978583,11.111512,12.0720557,less_college
2008,119697,88924.5652998745,10195.1837104583,11101.7435998916,11.4649802,12.4844506,less_college
2009,114602,84541.9664285069,9603.93746904998,10490.96250615,11.3599643,12.4091774,less_college
2010,112036,83466.0020147226,9031.35522348334,9891.2199034584,10.8203999,11.8505977,less_college
2011,110238,83936.1816513992,9051.5974057083,9865.95582379999,10.783904,11.7541156,less_college
2012,108606,84707.1929788332,8773.64418361668,9620.66052515003,10.3576138,11.3575488,less_college
2013,107409,84862.5759757347,8795.2752642,9580.03055931668,10.364139,11.2888753,less_college
2014,108044,85901.2005799085,8724.20742503335,9563.72969765001,10.156095,11.1334063,less_college
2015,106095,86134.9043639582,8589.89853044167,9457.3758509333,9.97261032,10.9797254,less_college
2016,105720,87090.6148930666,8443.49797240833,9372.25714219997,9.69507247,10.7615008,less_college
2017,103097,87165.7663395436,8616.11493056665,9473.63000920834,9.88474637,10.8685217,less_college
2018,99529,87394.5617240899,8453.80332933331,9229.2091252083,9.67314541,10.5603925,less_college
2019,95682,87627.4596179928,8137.01970231665,9053.55977167498,9.28592458,10.331875,less_college
2020,79439,78458.5057082668,7768.98922792499,8520.90830755,9.90203544,10.8604006,less_college
2021,79945,81158.6344181673,7545.01148697505,8388.02238080006,9.29662212,10.3353418,less_college
2022,76766,84097.8582689507,7781.42319368333,8614.57732514999,9.25281941,10.2435156,less_college
2023,74242,85170.0003106515,7767.21721340836,8654.22829345003,9.11966338,10.1611226,less_college
2024,73512,84570.2822310838,7589.51225407501,8481.40154164169,8.97420719,10.0288204,less_college
