year,sample_size,employment,members,covered,perc_mem,per_coverage,industry
2007,146614,108713.798464342,8113.62079971667,8870.01422314999,7.46328532,8.15905109,private
2008,144506,108072.588921615,8265.20941850834,9084.39467238331,7.64783173,8.40582698,private
2009,139413,103357.289036815,7430.80375932502,8226.11618840835,7.18943402,7.95891284,private
2010,137980,103040.38328835,7091.93622130838,7883.5563992167,6.88267648,7.65093863,private
2011,137410,104778.3739155,7204.48708930833,7971.87360585832,6.87592923,7.60831981,private
2012,137861,107230.191112017,7029.8958439,7844.33645823333,6.55589252,7.31541812,private
2013,137988,108724.339862726,7312.727846725,8122.06954325001,6.72593414,7.47033208,private
2014,139486,111259.542845235,7355.97181205831,8219.29902664998,6.6115424,7.38750025,private
2015,137826,113193.187453125,7552.444241025,8410.11093156666,6.67217224,7.42987394,private
2016,138525,115462.19401664,7436.16969215835,8438.06642594166,6.44035041,7.30807706,private
2017,136904,116961.435707517,7600.23879664164,8490.91880674166,6.49807229,7.25958868,private
2018,133898,119010.889234031,7578.01841374998,8512.4466407333,6.36750012,7.15266168,private
2019,129865,120755.20043156,7507.94275855835,8562.00240751669,6.21749013,7.09038004,private
2020,111050,111587.010789491,7082.26404790002,8020.84880103335,6.34685382,7.18797743,private
2021,112246,115807.472326743,7025.7602550417,8050.14968163338,6.06675893,6.95132166,private
2022,108688,120400.190334573,7219.14801345833,8163.65567633332,5.99596053,6.78043439,private
2023,105475,122994.116850769,7408.14371834999,8423.678348025,6.0231693,6.84884637,private
2024,105239,122722.365184484,7228.77090339167,8214.94459333334,5.8903452,6.69392645,private
1973,8850,13632.8,3134.5,NA,23,NA,public
1974,8823,14153.6,3472.7,NA,24,NA,public
1975,8879,14497.7,3601.5,NA,24,NA,public
1976,8979,14928.9,3789.5,NA,25,NA,public
1977,11139,15247.8,4994.6,6111.1,32,40,public
1978,10851,15399.8,5123.7,6234.4,33,40,public
1979,11062,15843.4,5868.2,7010.6,37,44,public
1980,13348,16038.8,5763.6,6967.7,35,43,public
1981,2796,15098.3,5188.9,6279.2,34,41,public
1983,32621,15633.8,5737.2,7112.2,36,45,public
1984,32144,15832.8,5655.7,6945.9,35,43,public
1985,32047,16071.4,5743.1,6920.6,35,43,public
1986,31469,16390.5,5890.5,7073.9,35,43,public
1987,31736,16864.3,6055.7,7165.7,35,42,public
1988,30709,17190.6,6299.2,7485.1,36,43,public
1989,31039,17490.8,6424.2,7614.4,36,43,public
1990,32833,17809.2,6476.6,7679.8,36,43,public
1991,32448,18028.5,6618.9,7783.4,36,43,public
1992,31935,18212,6639.5,7825.7,36,43,public
1993,31736,18703,7000.2,8143.2,37,43,public
1994,30153,18339.2,7091,8191.8,38,44,public
1995,29584,18357.6,6927.4,7986.6,37,43,public
1996,25960,18210.2,6854.4,7829.7,37,43,public
1997,25920,18147.2,6746.7,7668,37,42,public
1998,25861,18401,6905.3,7814.7,37,42,public
1999,26561,18938.1,7058.1,7966.3,37,42,public
2000,26572,18975.7,7110.5,7975.6,37,42,public
2001,28492,19130.3,7147.5,7975.4,37,41,public
2002,31266,19397.9,7327.2,8131.9,37,41,public
2003,30780,19710.2,7324.1,8184.7,37,41,public
2004,30362,19970.3,7267.1,8131.1,36,40,public
2005,30550,20380.9,7430.4,8261.8,36,40,public
2006,30059,20391.6,7377.8,8172.4,36,40,public
2007,30409,21053.2,7556.7,8373.3,35,39,public
2008,30391,21304.6,7832.3,8676.2,36,40,public
2009,30314,21132.6,7896.5,8677.5,37,41,public
2010,29848,21032.7,7623.1,8406,36,40,public
2011,28849,20431.7,7550.2,8309.1,37,40,public
2012,28223,20373,7319.5,8061.6,35,39,public
2013,27890,20412.3,7203,7894.1,35,38,public
2014,27588,20193.2,7214,7923.1,35,39,public
2015,27456,20577.3,7233.8,8022.7,35,39,public
2016,27283,20669.7,7113.5,7826.5,34,37,public
2017,26877,20951.5,7211.3,7945.2,34,37,public
2018,25957,21118.3,7162.2,7861.9,33,37,public
2019,24862,21011.2,7058.7,7812.9,33,37,public
2020,22621,20618.3,7168,7915,34,38,public
2021,21931,20613.4,6977.8,7745.3,33,37,public
2022,21026,21298.3,7060.9,7832.2,33,36,public
2023,20280,21573.2,7007.1,7762.6,32,36,public
2024,20347,21820.7,7016.7,7799.7,32,35,public
1973,13201,20249.1013,7866.60760999998,NA,38.849169,NA,manu
1974,12954,20620.9226600002,7803.84447,NA,37.8443032,NA,manu
1975,11464,18620.85914,6696.80407000002,NA,35.9639912,NA,manu
1976,11905,19645.7560499999,6990.84887000002,NA,35.5845242,NA,manu
1977,13408,20162.4622599999,7159.28436000001,7583.24362000001,35.5079859,37.6107007,manu
1978,13227,20787.95363,7107.23972,7629.6027,34.1892212,36.7020368,manu
1979,13488,21377.7078600001,7567.59058999998,8181.23786999999,35.3994488,38.2699489,manu
1980,15134,20975.6823999999,6771.10525000003,7308.61538000002,32.2807401,34.8432779,manu
1981,3450,21435.16728,6702.55544000001,7267.11040000001,31.2689661,33.9027464,manu
1983,35796,19223.1002,5353.69556333334,5875.92741999999,27.8503239,30.5670112,manu
1984,37239,20361.6150325,5297.89662500001,5792.18622500001,26.0190397,28.4465938,manu
1985,37294,20278.6167424999,5034.65774500003,5471.56281166669,24.8274222,26.9819319,manu
1986,36515,20442.0249083333,4909.557265,5282.10706916665,24.0169808,25.8394509,manu
1987,36020,20383.9036683334,4732.66048999999,5057.87766416666,23.2176363,24.8130962,manu
1988,34040,20563.2246525,4560.96125333333,4905.78795583333,22.1801847,23.8570943,manu
1989,34531,20830.9463508333,4504.03225416668,4820.74166583334,21.6218322,23.1422111,manu
1990,35279,20626.6887899999,4222.64139500001,4552.90231166666,20.4717367,22.072871,manu
1991,33442,19873.4767449999,4016.82391666667,4327.70942,20.2119842,21.7763081,manu
1992,32038,19369.6416183333,3805.60586583335,4076.14980333335,19.6472704,21.0440129,manu
1993,30772,18983.9392825001,3628.39688083333,3857.66036583333,19.1129818,20.3206524,manu
1994,29999,19379.8414909001,3533.03143658333,3817.37456228333,18.2304456,19.6976557,manu
1995,29475,19626.6922846167,3469.32294869166,3695.83530164999,17.6765546,18.8306584,manu
1996,25517,19736.8682940499,3411.81196253333,3629.42185511667,17.2864913,18.3890461,manu
1997,25814,20033.5441260332,3270.33656361666,3462.78739155833,16.324304,17.2849461,manu
1998,25385,19821.9138084666,3137.42708779166,3328.00826876667,15.828073,16.7895406,manu
1999,24855,19408.2181619833,3036.69341624167,3226.59470554167,15.6464308,16.6248887,manu
2000,24494,19230.1070043583,2842.49577138333,3011.46543228333,14.7814869,15.6601592,manu
2001,24782,18220.7937458666,2678.623220325,2830.87346830833,14.7009134,15.536499,manu
2002,25144,16994.7234113251,2444.57208039166,2577.56537331666,14.384301,15.1668563,manu
2003,23001,16202.3184474,2192.11748490833,2337.42934714166,13.5296538,14.4265115,manu
2004,22011,15810.2033453,2052.17975600834,2204.463583875,12.9800975,13.9432966,manu
2005,21561,15596.473118025,2033.95593785,2148.40005864167,13.0411267,13.774909,manu
2006,21070,15725.1368998584,1850.43778292499,1975.70974946666,11.7673873,12.5640228,manu
2007,20392,15437.9668292332,1757.8723147,1875.90869180833,11.3866828,12.1512681,manu
2008,19975,15239.0308541749,1746.16650715,1888.1284874,11.4585138,12.3900823,manu
2009,18053,13571.5403577,1501.05700461667,1630.832639625,11.0603287,12.0165623,manu
2010,17645,13362.8274326334,1444.13008225833,1569.65234316666,10.8070693,11.7464087,manu
2011,17645,13691.8708067167,1446.85778803333,1546.96789513334,10.5672761,11.2984403,manu
2012,17904,14039.73576425,1359.73759155833,1494.38264870833,9.68492329,10.6439515,manu
2013,18021,14298.529152125,1455.49053096666,1585.070659775,10.179302,11.0855504,manu
2014,17951,14552.8594933833,1420.85867926667,1528.41843895833,9.76343303,10.5025298,manu
2015,17512,14612.8109778916,1379.02504695,1476.869094425,9.43709611,10.1066738,manu
2016,17576,14887.4703375916,1320.90925525833,1451.346326875,8.87262374,9.748777,manu
2017,17107,14756.9487490083,1349.44099525833,1484.40907850833,9.14444476,10.0590512,manu
2018,16661,14951.7040049832,1358.90843655,1466.255761675,9.08865258,9.80661287,manu
2019,16256,15179.8923784916,1306.7937747,1448.39413651667,8.60871598,9.5415309,manu
2020,13799,13975.3963610834,1190.32632836667,1301.09209748333,8.51729959,9.30987596,manu
2021,13812,14246.9427945417,1105.5635821,1230.92070654167,7.76000544,8.63989368,manu
2022,13175,14696.4641264584,1161.47777428333,1278.82435388333,7.90311023,8.70157852,manu
2023,12906,15033.0782139666,1211.8117722,1384.72680586667,8.06096866,9.21119973,manu
2024,12328,14456.4038732833,1152.43100651667,1275.8873856,7.97176808,8.82575884,manu
1973,9660,14788.86188,1781.68637,NA,12.0474882,NA,wholesale
1974,9419,14992.84488,1715.33192,NA,11.4410035,NA,wholesale
1975,9477,15392.9926999999,1636.84365,NA,10.6336936,NA,wholesale
1976,9733,16009.11076,1725.10105,NA,10.7757456,NA,wholesale
1977,11753,16599.31728,1774.51371,1924.70953,10.6902815,11.5951128,wholesale
1978,11765,17230.5641600001,1701.39905,1896.65371,9.8743081,11.0074959,wholesale
1979,11734,17556.25996,1812.79399,2028.59959,10.3256277,11.5548506,wholesale
1980,13664,17400.5562700001,1752.76718,1896.47923,10.0730523,10.8989574,wholesale
1981,3128,18092.71508,1720.23324,1950.47572,9.50787812,10.7804477,wholesale
1983,35710,18166.8918149999,1590.50039666667,1808.00587583334,8.75493958,9.95220243,wholesale
1984,36411,18939.08806,1504.4194475,1683.73415583333,7.94346332,8.89026001,wholesale
1985,37111,19508.2693924999,1412.16972166667,1568.231035,7.23882615,8.03880169,wholesale
1986,36756,19948.2644158332,1439.26753833334,1571.32540416667,7.21500143,7.8770034,wholesale
1987,37252,20514.3083374999,1452.13865166667,1588.15234583334,7.07866251,7.74168148,wholesale
1988,35368,20689.9601433334,1396.95859333333,1575.1987875,6.75186663,7.61334821,wholesale
1989,36268,21240.9398191668,1332.6112775,1492.72458833333,6.27378672,7.02758282,wholesale
1990,37862,21739.3202433333,1369.57628333333,1535.00998,6.29999563,7.06098452,wholesale
1991,36720,21490.5728966666,1437.8371725,1591.4902,6.69054836,7.40552693,wholesale
1992,36435,21844.8056566667,1440.89293083333,1589.66480583333,6.5960437,7.27708339,wholesale
1993,36078,22132.1648058334,1396.26511,1538.6339725,6.30875974,6.95202648,wholesale
1994,35071,22408.512422267,1391.94155766667,1538.976182375,6.21166415,6.86781927,wholesale
1995,35348,23128.4180300084,1410.49540305833,1567.17292604167,6.09853826,6.77596256,wholesale
1996,32005,23751.0899596665,1343.20135924166,1489.396269275,5.6553252,6.27085417,wholesale
1997,31960,23772.732300375,1329.43227578334,1486.80146634167,5.59225678,6.25423043,wholesale
1998,32584,24354.3751888583,1295.15767870833,1404.75162545833,5.31796701,5.76796419,wholesale
1999,32924,24771.6732927085,1290.98043324167,1421.06968701667,5.2115187,5.73667213,wholesale
